scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-10.0,12.290738293082644
0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-5.0,-569.9015998013369
0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,0.0,-571.4412415837567
0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,5.0,-579.8516408560216
0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,10.0,3.623021585774573
0.0,0.0,0.0,-5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-10.0,62.83566889726057
0.0,0.0,0.0,-5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-5.0,-140.42367218691626
0.0,0.0,0.0,-5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,0.0,-146.86248056744594
0.0,0.0,0.0,-5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,5.0,-148.00637314190774
0.0,0.0,0.0,-5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,10.0,6.533122448464216
0.0,0.0,0.0,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-10.0,4.278365659380915
0.0,0.0,0.0,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-5.0,-34.73362070927607
0.0,0.0,0.0,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,0.0,-35.926236976492994
0.0,0.0,0.0,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,5.0,-40.11727029902448
0.0,0.0,0.0,-3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,10.0,4.681966069072482
0.0,0.0,0.0,-2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-10.0,-3.086025151956897
0.0,0.0,0.0,-2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,-5.0,-8.489133194848607
0.0,0.0,0.0,-2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,0.0,-10.45632774246118
0.0,0.0,0.0,-2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7105263157894737,0.0,5.0,-11.083294795848907
