,scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,-20.490820965561053
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.310344827586206,0.0,-10.0,-9.369529127136156
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.620689655172413,0.0,-10.0,14.836275589395221
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.931034482758621,0.0,-10.0,5.73234367706148
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.241379310344827,0.0,-10.0,23.940864511058358
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.551724137931034,0.0,-10.0,56.30164883218234
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.862068965517241,0.0,-10.0,14.72796061327246
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.172413793103448,0.0,-10.0,-20.743504204474196
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.482758620689655,0.0,-10.0,0.4966705011197864
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.793103448275861,0.0,-10.0,3.170045831556899
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1034482758620685,0.0,-10.0,-25.93849832726228
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.413793103448276,0.0,-10.0,17.352731380867997
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7241379310344822,0.0,-10.0,-3.323258251207794
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0344827586206886,0.0,-10.0,-31.73344915597933
