scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-662.4156326627691
0.0,0.0,0.0,-15.967967967967969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.33796966636527
0.0,0.0,0.0,-15.935935935935936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91024810773861
0.0,0.0,0.0,-15.903903903903904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.36881287777969
0.0,0.0,0.0,-15.871871871871871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.159716519717385
0.0,0.0,0.0,-15.83983983983984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.115325711886653
0.0,0.0,0.0,-15.807807807807809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.86174804006262
0.0,0.0,0.0,-15.775775775775776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.771966682742157
0.0,0.0,0.0,-15.743743743743744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.37295018025942
0.0,0.0,0.0,-15.711711711711711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.561230201112554
0.0,0.0,0.0,-15.67967967967968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.09045600337052
0.0,0.0,0.0,-15.647647647647648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.370709656791608
0.0,0.0,0.0,-15.615615615615615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.3199172773207
0.0,0.0,0.0,-15.583583583583584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.168299702185365
0.0,0.0,0.0,-15.551551551551551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.48646796727764
0.0,0.0,0.0,-15.51951951951952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.656992825754788
0.0,0.0,0.0,-15.487487487487488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.982024556032485
0.0,0.0,0.0,-15.455455455455455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.202873411760265
0.0,0.0,0.0,-15.423423423423424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.290288613880396
0.0,0.0,0.0,-15.391391391391391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3370494312227565
0.0,0.0,0.0,-15.35935935935936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.63728135178343
0.0,0.0,0.0,-15.327327327327328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.17021591067633
0.0,0.0,0.0,-15.295295295295295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.35861115977604
0.0,0.0,0.0,-15.263263263263264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5848.272940928408
0.0,0.0,0.0,-15.23123123123123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.332718453756139
0.0,0.0,0.0,-15.1991991991992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.288490048533113
0.0,0.0,0.0,-15.167167167167166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.7029167583341
0.0,0.0,0.0,-15.135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.06553493646712
0.0,0.0,0.0,-15.103103103103104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.38229839637579
0.0,0.0,0.0,-15.07107107107107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.52088681244035
0.0,0.0,0.0,-15.03903903903904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.01031074902085
0.0,0.0,0.0,-15.007007007007006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.296924152893915
0.0,0.0,0.0,-14.974974974974975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.02301925983508
0.0,0.0,0.0,-14.942942942942944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.00863556742965
0.0,0.0,0.0,-14.91091091091091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.28336863583498
0.0,0.0,0.0,-14.87887887887888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.510148568802265
0.0,0.0,0.0,-14.846846846846846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.534309934453557
0.0,0.0,0.0,-14.814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.3203366139487
0.0,0.0,0.0,-14.782782782782782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.891455343938325
0.0,0.0,0.0,-14.75075075075075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.53120634079488
0.0,0.0,0.0,-14.71871871871872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3237.8769535300917
0.0,0.0,0.0,-14.686686686686686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.305404110995774
0.0,0.0,0.0,-14.654654654654655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.36156207596628
0.0,0.0,0.0,-14.622622622622622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.16023433896709
0.0,0.0,0.0,-14.59059059059059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.398739165520034
0.0,0.0,0.0,-14.558558558558559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.4522537877111
0.0,0.0,0.0,-14.526526526526526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.556270605506583
0.0,0.0,0.0,-14.494494494494495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-517.0208629559768
0.0,0.0,0.0,-14.462462462462462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56802923231528
0.0,0.0,0.0,-14.43043043043043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66004399642788
0.0,0.0,0.0,-14.398398398398399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.349296970792222
0.0,0.0,0.0,-14.366366366366366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.251016105404297
